# Green's function G_{lmω}(r,r') for Teukolsky equation
# s=-2, l=2, m=2, a=0.0, r'=10.0M, r=30.0M
# Columns: ω  Re[G]  Im[G]  |G|  Re[ν]  Im[ν]
-6.60000000e-01  +2.3992017327752234e+02  +1.8276136222206935e+02  3.0160140096952927e+02  +2.0000000000000004e+00  +6.3818971033138594e-01
-6.40000000e-01  -4.9025638890863554e+01  +3.6695245289734532e+02  3.7021293326413621e+02  +1.9999999999999989e+00  +5.3343382032050957e-01
-6.20000000e-01  -4.2180932909248185e+02  +1.7079989612702207e+02  4.5507770174603280e+02  +1.9999999999999964e+00  +3.8441261499029628e-01
-6.00000000e-01  -3.9333813556408506e+02  -3.5450225070459487e+02  5.2951556600694369e+02  +1.7878302655744802e+00  -6.7333472136680043e-14
-5.80000000e-01  +1.3139130712683632e+02  -6.9119051544228819e+02  7.0356805230615373e+02  +1.4999999999999996e+00  +2.7670324015758990e-01
-5.60000000e-01  +8.3022275424367422e+02  -2.8841910056490053e+02  8.7889441870717235e+02  +1.5000000000000018e+00  +3.5081536817827597e-01
-5.40000000e-01  +8.2517119549169479e+02  +7.1897416888172381e+02  1.0944548219951148e+03  +1.5000000000000004e+00  +3.7257536329580160e-01
-5.20000000e-01  -2.7272285815101128e+02  +1.3246875552379772e+03  1.3524699169890714e+03  +1.5000000000000000e+00  +3.7329188439024502e-01
-5.00000000e-01  -1.5823470614152041e+03  +4.8687675482148035e+02  1.6555576695345974e+03  +1.5000000000000000e+00  +3.6188061539416749e-01
-4.80000000e-01  -1.4128973945714260e+03  -1.4241969042434239e+03  2.0061445286028811e+03  +1.5000000000000000e+00  +3.4192647959963207e-01
-4.60000000e-01  +7.8179741964704772e+02  -2.2736603778828667e+03  2.4043166844908851e+03  +1.5000000000000000e+00  +3.1491095230378535e-01
-4.40000000e-01  +2.8278289414083133e+03  -2.7578605605273719e+02  2.8412452323901198e+03  +1.5000000000000000e+00  +2.8106762460939055e-01
-4.20000000e-01  +1.5554211460089841e+03  +2.8944264258161470e+03  3.2858848543299164e+03  +1.5000000000000000e+00  +2.3935425109245939e-01
-4.00000000e-01  -2.3969871951070513e+03  +2.7781749080439695e+03  3.6693055791514948e+03  +1.5000000000000000e+00  +1.8624685314475173e-01
-3.80000000e-01  -3.6335131492315190e+03  -1.3869013330477892e+03  3.8892046890396609e+03  +1.5000000000000000e+00  +1.0805911705055918e-01
-3.60000000e-01  +5.6641040609367444e+01  -3.8613971435144294e+03  3.8618125417247675e+03  +1.6066167352463319e+00  -1.7454278355841503e-17
-3.40000000e-01  +3.3547880618700274e+03  -1.2698797066332920e+03  3.5870875943284004e+03  +1.6847877144372021e+00  -3.4106917524375814e-18
