# Green's function G_{lmω}(r,r') for Teukolsky equation
# s=-2, l=2, m=2, a=0.0, r'=10.0M, r=30.0M
# Columns: ω  Re[G]  Im[G]  |G|  Re[ν]  Im[ν]
-1.08000000e+00  -4.5731964400680321e+00  -2.2052343809868140e+00  5.0771236300229301e+00  +2.0000000000000000e+00  +1.7905781939405137e+00
-1.06000000e+00  -3.1491600681267862e+00  -4.0265161645805838e+00  5.1117552326293012e+00  +2.0000000000000000e+00  +1.7456394013761620e+00
-1.04000000e+00  -1.0551500511077945e+00  -5.0425622452900232e+00  5.1517740272625643e+00  +2.0000000000000000e+00  +1.7003445488144784e+00
-1.02000000e+00  +1.2914290582037904e+00  -5.0361594643313925e+00  5.1991048424269914e+00  +2.0000000000000000e+00  +1.6546615677675398e+00
-1.00000000e+00  +3.4196930903222511e+00  -3.9914588495807859e+00  5.2560483806653187e+00  +2.0000000000000000e+00  +1.6085538776570236e+00
-9.80000000e-01  +4.8955023649930824e+00  -2.0958665063600290e+00  5.3252793183207450e+00  +2.0000000000000000e+00  +1.5619794968229299e+00
-9.60000000e-01  +5.4019330900931770e+00  +2.9492900986320303e-01  5.4099782098177167e+00  +2.0000000000000000e+00  +1.5148899200157213e+00
-9.40000000e-01  +4.7963897963533464e+00  +2.7201083868871523e+00  5.5140134852008043e+00  +2.0000000000000000e+00  +1.4672286837951374e+00
-9.20000000e-01  +3.1341544184347221e+00  +4.6899960116603916e+00  5.6408320758540818e+00  +2.0000000000000000e+00  +1.4189295083087292e+00
-9.00000000e-01  +6.6109441784508327e-01  +5.7483355711006920e+00  5.7862256840955872e+00  +2.0000000000000000e+00  +1.3699138540831171e+00
-8.80000000e-01  -2.1772963705987514e+00  +5.4979808885311261e+00  5.9134096201832671e+00  +2.0000000000000000e+00  +1.3200876552871663e+00
-8.60000000e-01  -4.6115457187685616e+00  +3.6609163013908712e+00  5.8880100273421805e+00  +2.0000000000000000e+00  +1.2693368682509207e+00
-8.40000000e-01  -5.3153859938088752e+00  +4.6835004869650154e-01  5.3359797630138726e+00  +2.0000000000000000e+00  +1.2175212731587337e+00
-8.20000000e-01  -2.6348267817587345e+00  -2.1990531701856235e+00  3.4319305085005043e+00  +2.0000000000000000e+00  +1.1644656266706568e+00
-8.00000000e-01  +3.0772809862872292e+00  +6.2105792220496681e-01  3.1393265537848167e+00  +2.0000000000000000e+00  +1.1099466644118583e+00
-7.80000000e-01  +3.5185428993883909e+00  +1.4761661637064597e+01  1.5175203406281614e+01  +2.0000000000000000e+00  +1.0536733495935409e+00
-7.60000000e-01  -2.0793901729029397e+01  +3.2656316348271467e+01  3.8714614121219313e+01  +2.0000000000000000e+00  +9.9525562287069613e-01
-7.40000000e-01  -7.5280227636760529e+01  +1.2501587421413994e+01  7.6311220414154960e+01  +2.0000000000000000e+00  +9.3415247785553734e-01
-7.20000000e-01  -9.2403147183890752e+01  -8.6273676246633499e+01  1.2641791337700805e+02  +2.0000000000000000e+00  +8.6958027594628629e-01
-7.00000000e-01  +2.9292555042816215e+01  -1.8069868323947748e+02  1.8305755353280955e+02  +1.9999999999999998e+00  +8.0033776369250120e-01
-6.80000000e-01  +2.2305948866092240e+02  -9.1745446518269901e+01  2.4119030336750458e+02  +2.0000000000000000e+00  +7.2443570224366260e-01
